SentimentText,SentimentPolarity
유통기한도 넉넉하고,1
구성도 많아서 선물 하기 좋네요.,1
구성도알차고,1
촉촉하고너무좋아용,1
대용량으로 넉넉하게 사용할 수 있고,1
무난하고 순한 편이네요,1
제품 구성은 좋으나 ,1
가격면에서 타 사이트 대비 다소 비싼 면이 있습니다.,-1
이 구성에 이 가격으로 사도 되나 싶은 생각이 드는 제품,1
양도 많아요,1
끈적임 없이,1
잘 흡수되어 매우 만족합니다,1
구성 알차다고 좋아하셨어요,1
이 가격에 이 구성이라니 너무 잘 산 것 같아요!,1
적립금 사용해서 저렴하게 구매했습니다,1
촉촉하면서,1
제형이 안끈적거려요,1
"가격도 좋고,,,",1
향도 괜찮고,1
끈적임 별로 없어 좋아요,1
좋은 상품 구성이 많아 나눔할수있어서 잘쓰겠습니다,1
크림도 너무 흡수 잘되서 좋아요,1
향이 각기 다르고,1
점성이 부드러워서 ,1
발림성 좋았음,1
피부에 자극없고 ,1
가격대비 참 좋은 상품입니다 ,1
약간의 쑥향과 마향이 신경 쓰이긴하나,-1
피부 트러블은 없네요,1
향이좋아요.,1
쑥향에센스와 그림은  향이 별로..,-1
제형이 묽은 느낌.,-1
구성좋고 ,1
가격 만족! ,1
쿠폰할인에,1
가격대비 짱!!,1
품질도 가격도 맘에 들어해서 기분좋았어요~,1
가격도 맘에 들어해서 기분좋았어요~,1
촉촉하니  좋으네요 ,1
구성도좋아서,1
가격이 저렴해서,1
용량이 많아 듬뿍듬뿍 써도 부담이 없다네요~,1
아이크림이 제형이 쫀쫀하고 좋아요~,1
피부 진정도 되고 잘 쓰고 있어요^^,1
용량 은  좀  작은데...,-1
향이랑  좋네요,1
 가격까지 너무 착해서,1
품질도 최고이지요.,1
크림이 윗부분까지 차 있었지만 중간부터는 텅 비어있어서 생각보다 양이 작아 벌써 바닥을 보이고 있습니다.,-1
 촉촉함은 좋아요. ,1
"샘플은 전혀 없고 마스크 2장 있어요, ",-1
저렴하게 잘 샀어요,1
저렴한 가격에 잘 구매했습니다.,1
유통기한도 길다고 하시네요.,1
인삼향도 너무 좋고,1
촉촉하고  좋아요~~^^,1
할인받아 저렴하게 샀는데,1
제품구성도 좋네요,1
OOO는 피부에 스며드는 게 탁월하고 ,1
발랐을때 끈적임도 없고 ,1
바르고나면  촉촉해요,1
저렴하게 잘 샀어요.,1
OOO는 사용감이 좋아요.,1
저렴하게 구입할 수 있어서 좋아요.,1
사은품 이 화면과 다르게 와서 별하나 뺍니다.,-1
은은한향 너무 좋고,1
발림성 좋고,1
끈적이지않아,1
중건성 인 나의 피부에는 최고예요ㆍ,1
"하루종일 촉촉하고,",1
잔주름도 생기지 않고요ㆍ,1
주변사람들이 피부가 곱다고 하드래요ㆍ,1
이번 기회에 저렴하게  구입했습니댜,1
착한가격에  득템했네요^^,1
샘플 하나 없네요,-1
착한가격이지만,1
유통기한도 24년으로 길고,1
저렴한 가격으로 좋은 상품 잘 구입한것 같아요.,1
케이스가 이쁘네요~ ,1
좋은 가격에 좋은 제품 득템^-^♡,1
인삼향도 좋고,1
향이 진하고,1
촉촉해서  좋아요 ~~^^,1
가격이 저렴해서 구매했어요,1
적립금까지있어서 너무좋네요,1
저렴한 가격에 잘구매했습니다.,1
유통기한도 2024년까지 길어요.,1
구성도 맘에 들고,1
유통기한도 24년5월,1
여기가 제일 싼거 같아요,1
OOO는 다 아시는거니 효과는 말이 필요없고,1
저렴하게 구매도 하고 ,1
좋은구성에,1
저렴한가격,1
여기가 젤저렴하고,1
이 구성 넘 좋아요,1
스킨케어 3종을 좋은 가격에 잘샀어요.,1
유통기한도 2024년 3월까지로 걱정이 없네요.,1
샘플없어서 좀 아쉽지만,-1
가격이 저렴한게 더 좋은거 같아요.,1
향도 은은하고,1
발랐을따 끈적이지 않아 좋음,1
저렴하게 잘샀네요.,1
